fy_ef,organization_id,organization,core_responsibility,program_id,program_name,planned_spending_1,actual_spending,planned_spending_2,planned_spending_3,planned_ftes_1,actual_ftes,planned_ftes_2,planned_ftes_3,planning_explanation,variance_explanation
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Crown-Indigenous Relations,BWM09,Other Claims,1157963966,1473322085,0,0,5,12,0,0,,"Explanation of spending: 
1) Funding for the Federal Indian Day Schools Settlement Agreement (McLean) (+$611.7M)
2) Funding to settle Sixties Scoop settlement (+$256.6M)
3) Funding for the partial settlement of Gottfriedson (Indian Residential Day Scholars) litigation and support of Indigenous Childhood Claims Litigation management (+$215.2M)
4) Offset by the deferral of funds for Gottfriedson, Sixties Scoop and McLean litigation that were not required in 2021–22 and were reprofiled to future years to be available for the intended purpose (-$802.1M)

Explanation of FTEs:
Funding to advance Truth and Reconciliation Commission Calls to Action supporting missing children and unmarked burials."
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Crown-Indigenous Relations,BWM10,First Nation Jurisdiction over Land and Fiscal Management,26923320.16,73570964.82,26923303,26923302.94,48,50,48,42,,"Explanation of spending: 
1) Funding for the First Nations Finance Authority (FNFA) (+$33.4M)"
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Crown-Indigenous Relations,BWM13,Residential Schools Resolutions,8334887.98,9192505.53,8180045,724981.52,58,42,58,58,,"Explanation of spending: 
1) Reprofile of funds for payments of claims under the Indian Residential School Settlement Agreement (+$0.9M)

Explanation of FTEs:
The decrease is due to the winding down of the program and internal realignment."
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Northern Affairs,BWR04,Climate Change Adaptation and Clean Energy,35659203.3,43020679.43,30135695,30135695.2,34,34,34,34,,"Explanation of spending: 
1) Funding for a streamlined approach to transitioning Indigenous and remote communities to clean energy (+$19.2M)
2) Offset by the deferral of funds for a streamlined approach to transitioning Indigenous and remote communities to clean energy that were not required in 2021–22 and were reprofiled to future years to be available for the intended purpose ($-11.5M)"
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Northern Affairs,BWR05,Northern Strategic and Science Policy,13170782.32,7469482.06,10224728,9232524.88,19,21,19,19,,"Explanation of spending: 
1) Funding to the Government of the Northwest Territories to support the transition of Aurora College to a polytechnic university (+$5M)
2) Offset by the deferral of funds for measures to support a better future for Canada’s North that were not required in 2021–22 and were reprofiled to future years to be available for the intended purpose (-$7.8M)"
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Northern Affairs,BWR06,Northern Regulatory and Legislative Frameworks,19085165.23,20054131.57,19439026,19785025.96,136,134,136,136,,
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Northern Affairs,BWR07,Northern and Arctic Environmental Sustainability,13344816,11862791.15,12181215,9899133.84,23,24,22,17,,
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Northern Affairs,BWR08,Northern Contaminated Sites,285627286.8,233056057.7,290436510,300135003.8,112,114,112,112,,"Explanation of spending:
1) The deferral of funds to future years for the care and remediation of contaminated sites (-$56.9M)"
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Northern Affairs,BWR09,Canadian High Arctic Research Station,12255,1330037.91,12254,12253.75,3,4,3,3,,"Explanation of spending: 
1) Funding for Canadian High Arctic Research Station (+$1.6M)"
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Northern Affairs,BWR10,Nutrition North,119473117,148131441.3,124637911,130065585.7,20,19,20,20,,"Explanation of spending: 
1) Funding for Nutrition North Canada Program (+$30.3M)"
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Northern Affairs,BWR11,Northern and Arctic Governance and Partnerships,101619686.4,180383240.2,88036001,89261000.78,54,56,54,54,,"Explanation of spending: 
1) Funding to responding to housing and infrastructure needs of the governments of Nunavut and the Northwest Territories (+$50M)
2) Funding for a streamlined approach to transitioning Indigenous and remote communities to clean energy (+$25M)
3) Funding for essential municipal services and social supports (+$4M)"
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS01,Management and Oversight Services,29751524,33193546.95,26950679,26912786,256,262,253,253,,Explanation of spending: Internal reallocation of resources to cover incremental costs (+$3.4M)
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS02,Communications Services,5735893,7554130.61,5690564,5683712,9,11,9,9,,Explanation of spending: Internal reallocation of resources to cover incremental communication costs (+$1.8M)
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS03,Legal Services,59404143,63075794.26,52400035,52400035,80,76,79,79,,Explanation of spending : Internal reallocation to cover incremental costs related to litigation services (+$3.7M)
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS04,Human Resources Management Services,11356262,13256023.07,11208109,11151450,335,357,332,331,,"Explanation of FTEs: CIRNAC provides HR services to ISC. To meet the growing demand from ISC, additional FTE were required."
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS05,Financial Management Services,20293464,16267108.21,20567347,20473414,54,59,54,54,,
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS06,Information Management Services,7810417,612385.41,7629731,7539802,4,5,4,4,,Explanation of spending: Internal reallocation of resources to cover information technology costs (-$7.2M)
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS07,Information Technology Services,481479,20771008.53,706479,699713,3,3,3,3,,Explanation of spending: Internal reallocation of resources to cover information technology costs (+$20.3M)
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS08,Real Property Management Services,951336,125.95,951336,951336,0,0,0,0,,Explanation of spending: Internal reallocation of resources to cover material management costs (-$1M)
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS09,Materiel Management Services,2903002,10527708.47,2861512,2844223,14,14,14,14,,Explanation of spending: Internal reallocation of resources to cover material management costs (+$7.6M)
FY 2021-22,129,Department of Crown-Indigenous Relations and Northern Affairs,Internal Services,ISS0Z,Acquisition Management Services,103883,0,103884,103883,0,0,0,0,,Explanation of spending: Related expenditures coded under Material Management services.
FY 2021-22,130,Department of Industry,"People, Skills and Communities",BNN02,Support for Underrepresented Entrepreneurs,13637733,81045313.72,10708815,10439342,27,44,23,15,"The variances between previous reporting and current reporting on planned spending are related to the funding received in 2020-21 under Canada's COVID-19 Response Plan for Futurpreneur, Shop Local Initiative, and Canada United Small Business Relief Fund, as well as current approved funding levels  of the contributions under the Support for Women Entrepreneurs program.  Funding is ending in 2021-22.

FTE variances based on current approved funding levels of CanCode, Affordable Access, Accessible Technology Development Program and the Digital Literacy Exchange Program","New funding received in-year for the Diverse and Inclusive Economy Program, Black Entrepreneurship Loan Fund and Canada Digital Adoption Program: Stream 1.

Variance is primarily related to new funding received in-year from the Fall Economic Statement 2020 for the Black Entrepreneurship Program and the Diverse and Inclusive Economy Program.  New funding was also received from Budget 2021 for the Women Entrepreneurship Strategy, the Small Business and Entrepreneurship Development Program, the Support for Women Entrepreneurs Program and the Canada Digital Adoption Program: Stream 1. Finally, unused funding from 2020-21 was brought forward to 2021-22 for the Shop Local Initiative and the Canada United Small Business Relief Fund."
FY 2021-22,130,Department of Industry,"People, Skills and Communities",BNN03,Bridging Digital Divides,484360268,485316872.8,531743270,435880752,176,123,160,152,"The variances between previous reporting and current reporting on planned spending are primarily related to new funding for the Universal Broadband Fund and the Low Earth Orbit Satellite Capacity Fund. Also included in 2020-21 is funding received under Canada's COVID-19 Response Plan for the Computers for Schools and Computers for Schools Intern programs. The increase in 2021-22 is offset by the current approved funding levels of several contribution programs, namely: Affordable Access Initiative, Accessible Technology Development program,  Connect to Innovate and the Digital Literacy Exchange Program.

Universal Broadband Fund, starting in 2020-21 with planned FTE of 26","Anticipated staffing plans were impacted by labour shortage and didn’t materialize as planned under the Universal Broadband Fund. 

Variance is due to new funding received in-year from Budget 2021 for the Universal Broadband Fund.  Unused funding will be moved to future years."
FY 2021-22,130,Department of Industry,"People, Skills and Communities",BNN04,Economic Development in Northern Ontario,81718765,43699008.19,61069201,46001766,76,29,71,71,"The variances between previous reporting and current reporting on planned spending are related to the funding received in 2020-21 under Canada's COVID-19 Response Plan for the Northern Ontario Development Program, the Regional Economic Growth through Innovation program and  the Community Futures program, as well as the current approved funding levels of the contributions under the Women's Entrepreneurship Strategy.  Funding is ending in 2021-22.","The authorities used for 2021-22 represent spending up to August 12, 2021, after which the Federal Economic Development Agency for Northern Ontario officially became an independent agency per the Orders in Council 2021-839/0849.  The remaining authorities were transferred to the new organization.

The actual FTEs in 2021-22 represent the FTEs in ISED up to August 12, 2021, after which the Federal Economic Development Agency for Northern Ontario officially became an independent agency per the Orders in Council 2021-839/0849.  The remaining FTEs were transferred to the new organization."
FY 2021-22,130,Department of Industry,"Science, Technology, Research and Commercialization",BNO01,Science and Research,807922193,572939686.2,802476329,602658205,83,96,83,83,"The variances between previous reporting and current reporting on planned spending are primarily related to increases in the approved funding profiles of the Canada Foundation for Innovation and the Digital Research Infrastructure Strategy, as well as funding received under Canada's Research and Innovation Response to COVID-19 for GENOME Canada.","Variance is due to unused funding, primarily under Canada Foundation for Innovation, Digital Research Strategy and CANARIE, due to the impact of COVID-19 on the execution of projects.  Funding will be moved to future years to align with project milestones and cashflow requirements in order to meet commitments under signed contribution agreements.  This is offset by new funding received in-year from Budget 2021 for the Canadian Institute for Advanced Research, the Canadian Institute for Advanced Research - Pan-Canadian Artificial Intelligence Strategy, the National Artificial Intelligence Institutes and adMare BioInnovations, and to funding moved from 2020-21 for the Post-Secondary Institutions Strategic Investment Fund, as well as a statutory adjustment for the Canadian Institute for Advanced Research - Pan-Canadian Artificial Intelligence Strategy.

Variance is related to additional staffing to support the Strategic Science Fund, the National Quantum Strategy. the Pan-Canadian Artificial Intelligence Strategy and the Genomics Secretariat, for which the funding was reallocated internally."
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP01,Business Innovation,1467179220,1039639163,973623412,448987765,362.5,600.88,344,344,"The variances between previous reporting and current reporting on planned spending are related to funding received under Canada's Research and Innovation Response to COVID-19 for the Strategic Innovation Fund (Medical Countermeasures-MCM) as per Budget 2019.  The decrease in 2022-23 and 2023-24 is due to changes in the funding profiles of several contribution programs:  Strategic Innovation Fund, Automotive Innovation Fund, Strategic Aerospace and Defence Initiative, the Technology Demonstration Program and Innovation Superclusters Initiative.  Funding for Innovation Superclusters Initiative is ending in 2022-23.

FTE variances based on Strategic Innovation Fund (Medical Countermeasures-MCM) in 2020-21only","Variance is due to unused funding in the Strategic Innovation Fund and the Innovation Superclusters which has been moved to future years to better align with program cash flows.  New funding was also received in-year from Budget 2021 for the Cyber Security Innovation Network, and Canada Digital Adoption Program: Stream 2.

Variance is related to new funding received in-year for the Cyber Security Innovation Network, Net Zero Accelerator, Canada Digital Adoption Program: Stream 2 and to support Intellectual property-rich Canadian firms."
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP02,Support  for Small Business,163030078,93563395.02,135440337,117028138,46,48,46,46,The variances between previous reporting and current reporting on planned spending primarily reflects anticipated future claim payments under the Canada Small Business Financing Program.,"Variance is primarily the result of an overestimation of claim payments on defaulted loans.  With the economic downturn associated with the COVID-19 pandemic, claims for loss submissions resulting from defaulted loans were expected to increase significantly.  The claim for loss submissions, however, did not materialize to the extent predicted resulting in lower-than-expected claim payment expenses under the Canada Small Business Financing (CSBFA) program for 2021-22.

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP04,Economic Outcomes from Procurement,8680548,8398422.44,8782986,8694925,52,47,52,52,n/a variance less than 10%,"N/A - Less than 10%

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP05,Digital Service,11392809,11826304.59,10893505,10893505,73,64,73,73,The variances between previous reporting and current reporting on planned spending are related to funding received from TBS for Centralized Service for Enabling Regulators to Issue and Consume Digital Credentials.,"N/A - Less than 10%.

FTE: N/A - Less than 10%."
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP06,Spectrum and Telecommunications,161078915,123633494,162530037,122207933,757.5,782.5,757,745.5,"The variances between previous reporting and current reporting on planned spending are related to new funding received for the preparation of a New Generation of Wireless Technology (5G) as per Budget 2019.

FTE variance based on Functional Area (FA) Realignment","Unused funding was moved to future years due to procurement delays resulting from the COVID-19 pandemic, and a shift to procure climate-friendly vehicles to meet newly established greenhouse gas emission targets.

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP07,Clean Technology and Clean Growth,131998067,103264573.9,66465893,29565926,25,24,25,25,The variances between previous reporting and current reporting on planned spending are mainly related to the Canada Foundation for Sustainable Development Technology program.  The variation in the funding profile of the program is mainly attributable to reprofile of funding from future years to 2020-21 (reversed reprofile).,"Variance is due to unused funding, which has been moved to future years, resulting from changes to recipient organizations cashflow projections.  New funding was also received in-year under the Fall Economic Statement 2020 to scale-up the core funding mandate and make additional contributions to Canada’s ambitious climate change agenda.

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP11,Intellectual Property,35705122,30211161.18,31630154,21973354,1067,1055,1067,1067,The variances between previous reporting and current reporting on planned spending are related in part to the current approved funding levels of the Contribution to the Patent Collective Pilot Program (Intellectural Property Strategy) and to the fluctuations in the estimated amount draw down of CIPO accumulated surplus.,"Variance is primarily due to unused funding moved from 2020-21 to align the funding profile with the final milestone payment according to the contribution agreement under the Patent Collective Pilot Program.  Also reflected is a lower than anticipated drawdown on CIPO's revolving fund.  

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP12,Competition Law Enforcement and Promotion,40746973,43762607.91,40796197,40796197,336,327,336,336,n/a variance less than 10%,"Variance is primarily due to funding received to support the Competition Law Enforcement Modernization initiative in the Competition Bureau.

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP16,Tourism,2748373,3312415.63,2756660,2756660,27,25,27,27,"The variances between previous reporting and current reporting on planned spending are related to the current approved funding levels of three small contribution programs:  Contributions under Strategic Activities Program - Canada-China, Contributions to Strategic Activities Program - Ryerson and Contributions to Strategic Activities Program - Check in Canada.","Variance is primarily due to renewed funding received from Budget 2021 for the Tourism Relief Fund.  Unused funding will be moved to 2022-23 to better align with anticipated recipients expenditures.

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP17,Talent Development,105326761,194908835,4291875,4291875,22,28,21,21,"The variances between previous reporting and current reporting on planned spending are related to funding received in 2020-21 under Canada's COVID-19 Response Plan for Mitacs Inc., Business/Higher Education Roundtable and Digital Skills for Youth.  This increase is offset by the current approved funding levels of the CanCode program in 2020-21. and Let's Talk Science, Business/Higher Education Roundtable, and Digital Skills for Youth in 2021-22.","Variance is primarily due to new funding received in-year from the Fall Economic Statement 2020 under the Youth Employment Strategy for the Computers for Schools program and the Digital Skills for Youth Program.  New funding was also received in-year under Budget 2021 for Mitacs Inc, as well as renewed funding for the CanCode Program. 

Variance is related to new funding received in-year for the Youth Recovery Strategy."
FY 2021-22,130,Department of Industry,"Companies, Investment and Growth",BNP18,Marketplace Protection and Promotion,46743276,55713155.44,46588719,46588719,813,831,813,813,The variances between previous reporting and current reporting on planned spending are related to several factors such as the end of the Contributions to Strategic Activities Program - Business Resilience Service in 2020-21; and access to IP Royalties earned in 2019-20 for NUANS. (variance less than 10%),"Variance is primarily due to funding received in-year for royalties (NUANS) and to support Fuels Regulatory and Zero Emission Vehicles - Codes and Standards.

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,Internal Services,ISS01,Management and Oversight Services,58005241,51633884.63,56089780,55551082,403.9,397,403.9,403.9,"The variances between previous reporting and current reporting on planned spending are related to funding allocated from the Deputy Minister Reserve  for departmental priorities starting in 2020-21, and DRF realignments in various sectors.","Variance is primarily due to funding reallocated to organizational priorities such as Diversity & Inclusion, Workplace Accommodation, and the Procurement Process Modernization Initiative.  This activity also received collective agreement funding.

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,Internal Services,ISS02,Communications Services,18217642,24432136.12,18047557,17597003,189.9,222,189.9,189.9,n/a variance less than 10%,"Variance is primarily due to new funding received in-year from Budget 2021 for the Canada Digital Adoption Program and Net Zero Acceleration initiative.

Variance is related to new funding received in-year for corporate services, such as advertising and human resources, to support the Canada Digital Adoption Program and the Net Zero Accelerator, as well as funding reallocated internally to support overall growth (creation of G&Cs team & DRF)."
FY 2021-22,130,Department of Industry,Internal Services,ISS03,Legal Services,4907824,5244798.27,4870950,4858648,6,8,6,6,The variances between previous reporting and current reporting on planned spending are related to funding received from Deputy Minister Reserve to address requirements in High Cost litigation cases.,N/A - Less than 10%
FY 2021-22,130,Department of Industry,Internal Services,ISS04,Human Resources Management Services,24721422,28650520.57,24578000,24510607,245.5,323,245.5,245.5,n/a variance less than 10%,"Variance is primarily due to new funding received in-year from Budget 2021 for the Canada Digital Adoption Program, the Net Zero Accelerator initiative and to support intellectual property-rich Canadian firms, plus funding reallocated internally to support various HR projects (Diversity & Inclusion and Workplace Accommodation Centre).

Variance is primarily due to funding reallocated internally to support various HR projects (Diversity & Inclusion and Workplace Accommodation Centre) and to support overall growth."
FY 2021-22,130,Department of Industry,Internal Services,ISS05,Financial Management Services,21143883,23498892.51,21063964,20485465,195.7,209,195.7,195.7,n/a variance less than 10%,"Variance is primarily due to new funding received in-year from Budget 2021 for the Canada Digital Adoption Program and the Net Zero Accelerator initiative plus funding reallocated internally to support the Procurement Process Modernization Initiative.

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,Internal Services,ISS06,Information Management Services,4254975,6546914.04,4257023,4257023,61,62,61,61,"The variances between previous reporting and current reporting on planned spending are related to DRF Budget Realignment, and internal reallocations for special projects.","Variance is primarily due to a funding realignment between Information Management and Information Technology.

FTE:  N/A - Less than 10%"
FY 2021-22,130,Department of Industry,Internal Services,ISS07,Information Technology Services,29430733,45434963.05,29215677,29135845,352,356,352,352,"The variances between previous reporting and current reporting on planned spending are related to funding received from Treasury Board of Canada Secretariat for the Application Modernization Initiative, as well as funding received from the Deputy Minister reserve to address Workplace Modernization requirements at ISED, and DRF Budget Realignments.","Variance is primarily due to funding reallocated for various IT projects new collective agreement funding and Application Modernization funding received for the Workload Migration project.  A funding realignment between Information Management and Information Technology is also reflected.

 FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,Internal Services,ISS08,Real Property Management Services,5912678,12207631.94,5913671,5913671,56,60,56,56,The variances between previous reporting and current reporting on planned spending are primarily related to DRF Budget Realignment.,"Variance is primarily due to funding reallocated internally for various projects (Accessibility and Workplace Modernization).

FTE: N/A - Less than 10%"
FY 2021-22,130,Department of Industry,Internal Services,ISS09,Materiel Management Services,1722508,2017233.17,1724204,1724204,20,23,20,20,The variances between previous reporting and current reporting on planned spending are primarily related to DRF Budget Realignment performed by various sectors.,N/A - Amount not significant.
FY 2021-22,130,Department of Industry,Internal Services,ISS0Z,Acquisition Management Services,3524835,3962361,3488011,3433391,42.5,43,42,41.5,n/a variance less than 10%,"Variance is primarily due to funding reallocated internally to increase procurement capacity.

FTE:  N/A - Less than 10%"
FY 2021-22,132,Department of Justice,Legal Services,BNX01,Litigation Services,96603075,101540176.5,97287428,97287428,1850,1892,1850,1850,,
FY 2021-22,132,Department of Justice,Legal Services,BNX02,Legislative Services,17567581,11353375.09,16655868,16033246,202,212,202,202,,"The variance is partially explained by delays in the work on the Regulatory Review initiatives. The increased workload required to support the government’s ongoing COVID-19 pandemic response required managers to reprioritize their efforts. In addition, more revenues were recorded than initially allocated, thus offsetting a greater portion of the costs."
FY 2021-22,132,Department of Justice,Legal Services,BNX03,Advisory Services,104436053,109274705,105139635,105139635,1318,1373,1318,1318,,
FY 2021-22,132,Department of Justice,Justice System Support,BNY01,"Legal Policies, Laws and Governance",41444893,44514914.05,40990870,40800157,252,268,252,252,,
FY 2021-22,132,Department of Justice,Justice System Support,BNY02,Legal Representation,184389845,215579451.5,167681722,167796446,9,10,9,9,,"The variance is mainly explained by increased contribution spending resulting from additional funding received during the year to help ensure that all seven provinces providing immigration and refugee legal aid had the capacity to maintain historical service delivery levels throughout 2021-22, as announced in Budget 2021. Additional funding was also received and spent during the year to increase the federal government’s criminal legal aid support to provinces and territories throughout the COVID-19 pandemic, as announced in the 2020 Fall Economic Statement. 

The variance is explained by the staffing of an additional resource to address the increase in the workload."
FY 2021-22,132,Department of Justice,Justice System Support,BNY03,Contraventions Regime,9561444,5205457.82,9562067,9562067,3,4,3,3,,"The variance is explained by the fact that some provinces/territories are not yet ready to implement the Contraventions Act Regime and therefore did not incur expenditures as anticipated. The negotiations and progress depend largely on the priorities, and therefore capacity, of the provinces and territories. The funds will be completely committed once all jurisdictions have signed agreements.

The variance is explained by the return from leave of an employee."
FY 2021-22,132,Department of Justice,Justice System Support,BNY04,Drug Treatment Court Funding Program,3985391,6084842.43,3985674,3870950,2,2,2,2,,"The variance is explained by increased contribution spending to expand access to Drug Treatment Courts, as announced in Budget 2021. Since the Department did not require additional funding for this initiative in 2021-22, funds were transferred internally from available funding under the Contraventions Act Fund."
FY 2021-22,132,Department of Justice,Justice System Support,BNY05,Victims of Crime,25911917,29046594.36,25912514,18634032,7,7,7,7,"The variance in planned spending is explained by the sunset of temporary funding received over the three-year period, from 2020-21 to 2022-23, to respond to the Final Report of the National Inquiry into Missing and Murdered Indigenous Women and Girls. More specifically, the contributions funding to support Family Information Liaison Units and community based services.","The variance is explained by increased contribution spending resulting from new funding to advance the National Action Plan to End Gender-Based Violence by helping ensure access to free legal advice and legal representation for victims of sexual assault, as announced in Budget 2021."
FY 2021-22,132,Department of Justice,Justice System Support,BNY06,Youth Justice,158022047,201168430.9,158023030,158023030,4,5,4,4,,"The variance is explained by increased contribution spending under the Youth Justice Services Funding Program resulting from additional funding to increase contributions to the provinces and territories in support of diversion programming and to help reduce the overrepresentation of Indigenous peoples, Black Canadians, and other racialized groups in the youth justice system, as announced in Budget 2021.

The variance is explained by the realignment of a full-time equivalent between activities to better reflect Departmental priorities."
FY 2021-22,132,Department of Justice,Justice System Support,BNY07,Family Justice,18619025,17116391.25,18944328,17969328,1,0,1,1,,The variance is due to a position that was vacant during most of 2021-22 as an employee retired. The position was staffed at the end of 2021-22.
FY 2021-22,132,Department of Justice,Justice System Support,BNY08,Indigenous Justice,22071396,33591937.11,22073096,22073096,19,20,19,19,,"The variance is mainly explained by increased spending under the Indigenous Justice Program and Indigenous Courtwork Program. The programs received new grants and contributions funding to improve access to justice for Indigenous people as announced in Budget 2021, as well as new contribution funding to support the implementation of Gladue Principles in the mainstream justice system and the development of Gladue Reports as announced in the 2020 Fall Economic Statement."
FY 2021-22,132,Department of Justice,Justice System Support,BNY09,Justice System Partnerships,26081573,28885686.86,25631967,24462598,1,6,1,1,,"The variance is mainly explained by increased contribution spending resulting from new funding to advance the National Action Plan to End Gender-Based Violence by helping ensure access to free legal advice and legal representation for victims of intimate partner violence and by providing additional supports for victims of intimate partner violence to navigate the family justice system, as announced in Budget 2021. New funding was also provided to support community justice centres, as announced in the 2020 Fall Economic Statement.

The variance is explained by an increase in full-time equivalents needed to deliver new projects within the program."
FY 2021-22,132,Department of Justice,Justice System Support,BNY10,Ombudsman for Victims of Crime,1336698,1275788.65,1336929,1336929,10,10,10,10,,
FY 2021-22,132,Department of Justice,Internal Services,ISS01,Management and Oversight Services,24116215,27096371.24,24465126,24411129,217,250,217,217,,"The variance is mainly explained by salary expenditure increases related to the increase in the workforce. In addition, operating expenditures were incurred for the newly created Anti-Racism and Anti-Discrimination Secretariat and Justice Ombuds office, which were excluded from planned spending.

The variance is explained by the creation of the Anti-Racism and Anti-Discrimination Secretariat and the creation of the Justice Ombuds Office, both of which were not included at the time of the preparation of the planned information. Also, the scope of work in the Change Management division has increased due to higher demand for their services."
FY 2021-22,132,Department of Justice,Internal Services,ISS02,Communications Services,7015161,8307312.28,6875810,6869474,65,67,65,65,,"The variance is mainly explained by salary expenditure increases for retroactive payments and salary increments related to the ratification of collective agreements, and an increase in work on Indigenous-related matters."
FY 2021-22,132,Department of Justice,Internal Services,ISS03,Legal Services,0,.,0,0,0,0,0,0,All legal services resources and expenditures for the Department of Justice Canada are reported under its Legal Services Core Responsibility.,All legal services resources and expenditures for the Department of Justice Canada are reported under its Legal Services Core Responsibility.
FY 2021-22,132,Department of Justice,Internal Services,ISS04,Human Resources Management Services,13394307,13081289.31,13400858,13400858,210,212,210,210,,
FY 2021-22,132,Department of Justice,Internal Services,ISS05,Financial Management Services,11843189,10994808.33,11849915,11849915,164,159,164,164,,
FY 2021-22,132,Department of Justice,Internal Services,ISS06,Information Management Services,8671777,9584135.12,8428645,8378792,113,118,113,113,,"The variance is explained by salary expenditure increases due to growth in the workforce, retroactive payments and salary increments related to the ratification of collective agreements."
FY 2021-22,132,Department of Justice,Internal Services,ISS07,Information Technology Services,10530813,21757452.53,10536392,10536392,190,204,190,190,,"The variance is explained by salary expenditure increases due to growth in the workforce, retroactive payments and salary increments related to the ratification of collective agreements and increased expenditures resulting from in-year funding of Information Technology projects and internal pressures, such as COVID-related staffing to support telework requirements."
FY 2021-22,132,Department of Justice,Internal Services,ISS08,Real Property Management Services,7323381,10743779.28,7293562,7169562,63,62,63,63,,The variance is explained by increased expenditures resulting from in-year funding of leasehold improvement projects.
FY 2021-22,132,Department of Justice,Internal Services,ISS09,Materiel Management Services,0,.,0,0,0,0,0,0,"Not applicable - Due to low materiality, the resources and expenditures for Material Management Services are now aligned and reported under Acquisition Management Services.","Not applicable - Due to low materiality, the resources and expenditures for Material Management Services are now aligned and reported under Acquisition Management Services."
FY 2021-22,132,Department of Justice,Internal Services,ISS0Z,Acquisition Management Services,1544532,1214703.09,1545461,1545461,20,19,20,20,,The variance is explained by a reduction in salary expenditures related to the reduced workforce.
FY 2021-22,133,Department of National Defence,Operations,BUN01,Operations in Canada,8039759,5422834.17,8184494,8387431,0,0,0,0,,
FY 2021-22,133,Department of National Defence,Operations,BUN02,Operations in North America,13217839,13996731.56,13066867,13282292,133,127,134,136,,
FY 2021-22,133,Department of National Defence,Operations,BUN03,International Operations,107417807,300089621.1,111369002,116652119,111,66,113,114,,
FY 2021-22,133,Department of National Defence,Operations,BUN04,Global Engagement,288604617,349241672.2,287762506,289548591,1030,598,1042,1054,,
FY 2021-22,133,Department of National Defence,Operations,BUN05,Cyber Operations,52191875,56550041.44,51904594,52843698,501,435,507,513,,
FY 2021-22,133,Department of National Defence,Operations,BUN06,"Command, Control and Sustainment of Operations",161378549,155156521.9,160629691,163497733,1303,877,1317,1330,,
FY 2021-22,133,Department of National Defence,Operations,BUN07,Special Operations,53245476,35045016.89,56071593,59477135,0,0,0,0,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO01,Strategic Command and Control,166205140,141151954.3,172262120,180217699,441,302,444,448,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO02,Ready Naval Forces,1094911087,1316594518,1050660028,973612823,6796,9480,6814,6855,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO03,Ready Land Forces,2412530133,2392494833,2388982129,2427398046,19484,17907,19717,19942,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO04,Ready Air and Space Forces,1733276544,1749744965,1759326043,1811529300,11088,9595,11220,11348,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO05,Ready Special Operations Forces,342604820,382555207.8,345166670,354569198,2321,1975,2349,2373,,
